Hour_of_the_day,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00,79,190,134,112,134,153,247,79
7:00,82,186,128,111,139,156,247,82
8:00,86,183,130,119,129,153,247,86
9:00,84,127,105,94,99,107,252,84
10:00,83,119,99,89,95,112,259,83
11:00,78,115,102,86,99,104,236,78
12:00,78,115,97,88,96,109,239,78
13:00,81,122,97,98,101,115,242,81
14:00,83,127,104,92,96,110,244,83
15:00,83,126,104,88,92,110,248,83
16:00,83,127,99,90,99,109,251,83
17:00,79,181,135,121,129,151,251,79
18:00,80,174,122,113,132,158,240,80
19:00,127,159,145,176,137,103,282,127
